id,"name","created_at","updated_at","ancestry"
1,"レディース","2019-10-13 02:18:54","2019-10-13 02:18:54",
2,"ア","2019-10-13 02:18:54","2019-10-13 02:18:54","1"
3,"アー ヴェ ヴェ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
4,"アーカー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
5,"アーキ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
6,"アークスタンダード","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
7,"アークテリクス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
8,"アーサスベイプ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
9,"アージェントグリーム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
10,"アージュ ヴェール","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
11,"アースミュージック&エコロジー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
12,"アースメイド","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
13,"アーツアンドクラフツ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
14,"アーツアンドサイエンス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
15,"アーティ ショ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
16,"アーティズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
17,"アーテクルール","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
18,"アーデム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
19,"アートヴィンテージ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
20,"アートブラウン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
21,"アーネスト ソーン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
22,"アーノット","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
23,"アーノルドパーマー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
24,"アーノルド パーマー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
25,"アーノルド パーマー タイムレス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
26,"アーバー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
27,"アーバン アウトフィッターズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
28,"アーバンボビー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
29,"アーバン リサーチ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
30,"アーバンリサーチアイディー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
31,"アーバンリサーチサニーレーベル","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
32,"アーバンリサーチドアーズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
33,"アーバンリサーチロッソ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
34,"アーベーセー アン フェイス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
35,"アー ペー セー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
36,"アームスセレクト","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
37,"アームド","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
38,"アーメン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
39,"アーモワールカプリス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
40,"アーモンド","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
41,"アール アンド　イー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
42,"アールエヌエー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
43,"アールエヌエーエヌ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
44,"アールエヌエースラング","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
45,"アールエフ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
46,"アールオーイー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
47,"アールケイオーバーシーズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
48,"アールサーティーン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
49,"アール ジーン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
50,"アールジーンズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
51,"アールディーズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
52,"アールディールージュディアマン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
53,"アールピーエス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
54,"アールユー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
55,"アールユー ジーンズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
56,"アールユー ノアール","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
57,"アールワークス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
58,"アイ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
59,"アイアイエムケー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
60,"アイアムアイ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
61,"アイアムアイインファクト","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
62,"アイアムアイボイガル","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
63,"アイヴァン7285","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
64,"アイエルバイサオリコマツ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
65,"アイグナー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
66,"アイコムデギャルソンジュンヤワタナベマン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
67,"アイザックセラム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
68,"アイザックセラムエクスペリエンス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
69,"アイザックミズラヒ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
70,"アイシービー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
71,"アイスー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
72,"アイスウォッチ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
73,"アイスキン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
74,"アイスクリーム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
75,"アイスクリーム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
76,"アイスチェインプラント","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
77,"アイスバーグ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
78,"アイズビット","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
79,"アイズビットガーディアン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
80,"アイ ダブリュ シー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
81,"アイネア","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
82,"アイノウ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
83,"アイバイオプティチュード","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
84,"アイパ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
85,"アイファニー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
86,"アイフォリア","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
87,"アイボリーコート","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
88,"アイモハ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
89,"アイラ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
90,"アイラバンビーナ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
91,"アイランドスリッパ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
92,"アイリーベリー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
93,"アイリス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
94,"アイリッシュ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
95,"アイリプサス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
96,"アイロニー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
97,"アインシュリット","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
98,"アインソフ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
99,"アヴァランチ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
100,"アヴァンリリィ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
101,"アウィーエフ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
102,"アヴィレックス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
103,"アウェイク","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
104,"アヴェダ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
105,"アヴォイド","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
106,"アウトキャスト","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
107,"アウトドアプロダクツ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
108,"アウトドアプロダクツアパレル","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
109,"アウトドアリサーチ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
110,"アウトレットシューズセレクト","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
111,"アウラ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
112,"アウラ アイラ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
113,"アウリィ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
114,"アヴリルガウ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
115,"アエロナウティカミリターレ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
116,"アオキ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
117,"アオキユリ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
118,"アカクラ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
119,"アカデミクス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
120,"アカネウツノミヤ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
121,"アカプルコゴールド","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
122,"アガタ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
123,"アガット","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
124,"アガット アディション","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
125,"アガット クラシック","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
126,"アガット ファースト","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
127,"アキュート","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
128,"アキラーノリモンディ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
129,"アクアガール","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
130,"アクアガールコスメティクス","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
131,"アクアシャボン","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
132,"アクアスキュータム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
133,"アクアネーム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
134,"アクアブルー","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
135,"アクイラーノリモンディ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
136,"アクータ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
137,"アクサラ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
138,"アクシーズファム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
139,"アクセサライズ","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
140,"アクセサリーズブラッサム","2019-10-13 02:18:54","2019-10-13 02:18:54","1/2"
