id,name,created_at,updated_at,ancestry,sizetype_id
1,レディース,2019-09-28 06:10:21,2019-09-28 06:10:21,,
2,トップス,2019-09-28 06:10:21,2019-09-28 06:10:21,1,1
3,Tシャツ/カットソー(半袖/袖なし),2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
4,Tシャツ/カットソー(七分/長袖),2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
5,シャツ/ブラウス(半袖/袖なし),2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
6,シャツ/ブラウス(七分/長袖),2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
7,ポロシャツ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
8,キャミソール,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
9,タンクトップ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
10,ホルターネック,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
11,ニット/セーター,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
12,チュニック,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
13,カーディガン/ボレロ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
14,アンサンブル,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
15,ベスト/ジレ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
16,パーカー,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
17,トレーナー/スウェット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
18,ベアトップ/チューブトップ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
19,ジャージ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
20,その他,2019-09-28 06:10:21,2019-09-28 06:10:21,1/2,1
21,ジャケット/アウター,2019-09-28 06:10:21,2019-09-28 06:10:21,1,1
22,テーラードジャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
23,ノーカラージャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
24,Gジャン/デニムジャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
25,レザージャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
26,ダウンジャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
27,ライダースジャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
28,ミリタリージャケット,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
29,ダウンベスト,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
30,ジャンパー/ブルゾン,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
31,ポンチョ,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
32,ロングコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
33,トレンチコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
34,ダッフルコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
35,ピーコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
36,チェスターコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
37,モッズコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
38,スタジャン,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
39,毛皮/ファーコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
40,スプリングコート,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
41,スカジャン,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
42,その他,2019-09-28 06:10:21,2019-09-28 06:10:21,1/21,1
43,パンツ,2019-09-28 06:10:21,2019-09-28 06:10:21,1,1
