id,"sizetype","created_at","updated_at","ancestry"
1,"洋服のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
2,"XXS以下","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
3,"XS(SS)","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
4,"S","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
5,"M","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
6,"L","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
7,"XL(LL)","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
8,"2XL(3L)","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
9,"3XL(4L)","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
10,"4XL(5L)以上","2019-09-28 12:36:36","2019-09-28 12:36:36","1"
11,"メンズ靴のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
12,"FREE SIZE","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
13,"23.5cm以下","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
14,"24cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
15,"24.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
16,"25cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
17,"25.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
18,"26cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
19,"26.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
20,"27cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
21,"27.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
22,"28cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
23,"28.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
24,"29cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
25,"29.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
26,"30cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
27,"30.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
28,"31cm以上","2019-09-28 12:36:36","2019-09-28 12:36:36","11"
29,"レディース靴のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
30,"20cm以下","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
31,"20.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
32,"21cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
33,"21.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
34,"22cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
35,"22.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
36,"23cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
37,"23.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
38,"24cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
39,"24.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
40,"25cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
41,"25.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
42,"26cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
43,"26.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
44,"27cm","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
45,"27.5cm以上","2019-09-28 12:36:36","2019-09-28 12:36:36","29"
46,"スカートのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
47,"60cm以下","2019-09-28 12:36:36","2019-09-28 12:36:36","46"
48,"~70cm","2019-09-28 12:36:36","2019-09-28 12:36:36","46"
49,"~80cm","2019-09-28 12:36:36","2019-09-28 12:36:36","46"
50,"~90cm","2019-09-28 12:36:36","2019-09-28 12:36:36","46"
51,"90cm以上","2019-09-28 12:36:36","2019-09-28 12:36:36","46"
52,"キッズ服のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
53,"100cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
54,"110cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
55,"120cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
56,"130cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
57,"140cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
58,"150cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
59,"160cm","2019-09-28 12:36:36","2019-09-28 12:36:36","52"
60,"ベビー・キッズ靴のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
61,"10.5cm以下","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
62,"11cm・11.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
63,"12cm・12.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
64,"13cm・13.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
65,"14cm・14.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
66,"15cm・15.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
67,"16cm・16.5cm","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
68,"17cm以上","2019-09-28 12:36:36","2019-09-28 12:36:36","60"
69,"ベビー服のサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
70,"60cm","2019-09-28 12:36:36","2019-09-28 12:36:36","69"
71,"70cm","2019-09-28 12:36:36","2019-09-28 12:36:36","69"
72,"80cm","2019-09-28 12:36:36","2019-09-28 12:36:36","69"
73,"90cm","2019-09-28 12:36:36","2019-09-28 12:36:36","69"
74,"95cm","2019-09-28 12:36:36","2019-09-28 12:36:36","69"
75,"～20インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
76,"20～26インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
77,"26～32インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
78,"テレビのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
79,"32～37インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
80,"37～40インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
81,"40～42インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
82,"42～46インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
83,"46～52インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
84,"52～60インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
85,"60インチ～","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
86,"カメラレンズのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
87,"ニコンFマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
88,"キヤノンEFマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
89,"ペンタックスKマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
90,"ペンタックスQマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
91,"フォーサーズマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
92,"マイクロフォーサーズマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
93,"α Aマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
94,"α Eマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
95,"ニコン1マウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
96,"キヤノンEF-Mマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
97,"Xマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
98,"シグマSAマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
99,"オートバイのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
100,"50cc以下","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
101,"51cc-125cc","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
